event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:DWYYAPR6QU_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Wednesday,14,,
E:3UNBYEYBRU_1,"11, 13, 16, 18",General Teaching,12,2,Wednesday,14,,
E:PC6997ADHL_1,"9, 10, 11, 12, 13",General Teaching,65,2,Tuesday,15,,
E:MWU6VPBYA8_1,"28, 34",Computer Laboratory,40,1,Friday,9,,
E:5KRB82KM7L_1,"27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,14,1,Thursday,17,,
E:DRNOQ27SSU_1,"26, 27, 28, 29, 30",General Teaching,55,2,Friday,14,,
E:XP71I543L9_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,12,1,Tuesday,16,,
E:ZGG2THHQOL_1,"28, 29, 30",Computer Laboratory,30,1,Wednesday,11,,
E:NQTCUQPU7Z_1,"10, 12",Computer Laboratory,25,1,Friday,12,,
E:7RCVGWI3LX_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Friday,9,,
E:TUS2PQRJ67_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,17,1,Thursday,13,,
E:W3RSAY22YC_1,"35, 36",General Teaching,8,2,Monday,9,,
E:5QOUR556D8_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,100,2,Tuesday,11,,
E:PF6YLQM2RF_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,30,2,Wednesday,13,,
E:GTQ9JXSKCK_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,16,1,Tuesday,9,,
E:DY67HENEHH_1,"10, 12, 16, 18",General Teaching,20,1,Friday,11,,
E:BTNAPV8NH9_1,"33, 34, 36",Teaching Studio,50,2,Friday,11,,
E:5JS9U33ATP_1,"11, 12, 15, 18",General Teaching,25,1,Wednesday,13,,
E:GUEVC28PS4_1,"26, 27, 28, 29, 30",General Teaching,110,2,Friday,14,,
E:JM2MW14O8D_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,15,1,Friday,11,,
E:OVKZLYSF54_1,"34, 35",No room required,110,1,Monday,9,,
E:FGZH3R7EAR_1,"34, 35",Computer Laboratory,28,1,Thursday,16,,
E:9YA44XHVR8_1,"34, 35",Computer Laboratory,28,1,Thursday,11,,
E:OW7B48YHIH_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,50,2,Wednesday,13,,
E:I4RE1UJUWT_1,"28, 29, 30, 32, 33, 34, 35, 36",General Teaching,22,1,Friday,13,,
E:1496BFU13E_1,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",General Teaching,80,1,Friday,15,,
E:EORO7JHGT8_1,"35, 36",General Teaching,8,2,Monday,14,,
E:K5HY62WBKK_1,"12, 13, 15, 16, 17, 18",General Teaching,30,1,Friday,16,,
E:3K9PJUCKQA_1,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18",General Teaching,10,2,Friday,14,,
E:T9UQDW8CVP_1,"35, 36",General Teaching,8,2,Friday,15,,
E:59QL84NTXI_1,"30, 36",General Teaching,360,1,Tuesday,17,,
E:RVA4MPVQV1_1,"11, 12, 13, 15, 16, 17, 18, 19",General Teaching,25,2,Friday,14,,
E:OC1QURKK3A_1,"10, 11, 12, 13, 15, 16, 17, 18, 19",General Teaching,17,1,Monday,15,,
E:ES361N973L_1,"27, 29",General Teaching,35,2,Thursday,14,,
