event1,event2,shared_students,week,day,start1,end1,start2,end2
E:6Z4SIB5LWT-00001,E:6Z4SIB5LWT-00003,57,16,Monday,0,8,0,8
E:6Z4SIB5LWT-00001,E:6Z4SIB5LWT-00004,57,16,Monday,0,8,0,8
E:6Z4SIB5LWT-00001,E:8BL3GNNNHP,57,16,Monday,0,8,0,1
E:6Z4SIB5LWT-00001,E:8BL3GNNNHP-00001,57,17,Monday,0,8,0,1
E:6Z4SIB5LWT-00001,E:8BL3GNNNHP-00002,57,18,Monday,0,8,0,1
E:6Z4SIB5LWT-00001,E:8BL3GNNNHP-00003,57,19,Monday,0,8,0,1
E:6Z4SIB5LWT-00002,E:6Z4SIB5LWT-00003,57,16,Monday,0,8,0,8
E:6Z4SIB5LWT-00002,E:6Z4SIB5LWT-00004,57,16,Monday,0,8,0,8
E:6Z4SIB5LWT-00002,E:8BL3GNNNHP,57,16,Monday,0,8,0,1
E:6Z4SIB5LWT-00002,E:8BL3GNNNHP-00001,57,17,Monday,0,8,0,1
E:6Z4SIB5LWT-00002,E:8BL3GNNNHP-00002,57,18,Monday,0,8,0,1
E:6Z4SIB5LWT-00002,E:8BL3GNNNHP-00003,57,19,Monday,0,8,0,1
E:6Z4SIB5LWT-00003,E:6Z4SIB5LWT-00004,57,16,Monday,0,8,0,8
E:6Z4SIB5LWT-00003,E:8BL3GNNNHP,57,16,Monday,0,8,0,1
E:6Z4SIB5LWT-00003,E:8BL3GNNNHP-00001,57,17,Monday,0,8,0,1
E:6Z4SIB5LWT-00003,E:8BL3GNNNHP-00002,57,18,Monday,0,8,0,1
E:6Z4SIB5LWT-00003,E:8BL3GNNNHP-00003,57,19,Monday,0,8,0,1
E:6Z4SIB5LWT-00004,E:8BL3GNNNHP,57,16,Monday,0,8,0,1
E:6Z4SIB5LWT-00004,E:8BL3GNNNHP-00001,57,17,Monday,0,8,0,1
E:6Z4SIB5LWT-00004,E:8BL3GNNNHP-00002,57,18,Monday,0,8,0,1
E:6Z4SIB5LWT-00004,E:8BL3GNNNHP-00003,57,19,Monday,0,8,0,1
E:9EAQJKB6KX,E:ACSVZWITU9-00004,13,9,Wednesday,4,6,3,5
E:9EAQJKB6KX,E:KE4E4TS5P9-00008,13,9,Wednesday,4,6,5,7
E:9EAQJKB6KX,E:REXFWK78ON-00009,13,9,Wednesday,4,6,4,5
E:9EAQJKB6KX,E:Z29NA5X9DV,13,9,Wednesday,4,6,2,5
E:ACSVZWITU9-00001,E:J38K97F7RO-00009,13,10,Thursday,4,7,5,6
E:ACSVZWITU9-00002,E:ACSVZWITU9-00004,13,13,Wednesday,4,7,3,5
E:ACSVZWITU9-00002,E:KE4E4TS5P9-00004-00001,13,13,Wednesday,4,7,3,6
E:ACSVZWITU9-00003,E:IIPSOOHZT6-00001-00002,13,12,Monday,1,3,0,2
E:ACSVZWITU9-00004,E:DE255GYKGX,13,11,Wednesday,3,5,2,5
E:ACSVZWITU9-00004,E:KE4E4TS5P9-00004-00001,13,13,Wednesday,3,5,3,6
E:ACSVZWITU9-00004,E:REXFWK78ON-00009,13,9,Wednesday,3,5,4,5
E:ACSVZWITU9-00004,E:Z29NA5X9DV,13,9,Wednesday,3,5,2,5
E:C54ACPGBMG-00001,E:REXFWK78ON-00013,13,12,Wednesday,6,8,6,7
E:CMCMWGGTFB-00001,E:N2B1W9AHAM-00002-00002,13,35,Thursday,0,3,2,3
E:DDSGTR2EXY,E:J38K97F7RO-00012,13,13,Monday,3,6,3,4
E:FEZSKTEFXU,E:N2B1W9AHAM-00002-00011,13,13,Tuesday,4,6,4,5
E:FEZSKTEFXU,E:N2B1W9AHAM-00002-00021,13,13,Tuesday,4,6,4,5
E:G2EYY9K3DQ-00001-00001,E:OGMTQZFYRI,13,37,Monday,2,5,2,4
E:G2EYY9K3DQ-00001-00001,E:OGMTQZFYRI-00004,13,37,Monday,2,5,0,3
E:GHSS152XH8,E:REXFWK78ON-00015,13,12,Tuesday,6,8,6,7
E:HI4YKASYP7-00002,E:OGMTQZFYRI-00002-00003,13,36,Monday,0,1,0,3
E:I231JZ6DLC,E:N2B1W9AHAM-00002-00010,13,12,Wednesday,1,2,0,2
E:IIPSOOHZT6-00001-00002,E:RZA3OV43KM-00002,13,12,Monday,0,2,0,1
E:IIPSOOHZT6-00001-00002,E:ZBNWARLP8W,13,12,Monday,0,2,0,1
E:J38K97F7RO-00011,E:V1FN9AH9W6,13,11,Thursday,7,8,6,8
E:J38K97F7RO-00011-00001,E:KE4E4TS5P9-00001,13,11,Friday,0,1,0,2
E:K9MSPN1M7N,E:OGMTQZFYRI,13,26,Monday,0,3,2,4
E:K9MSPN1M7N,E:OGMTQZFYRI-00004-00001,13,26,Monday,0,3,0,3
E:K9MSPN1M7N,E:PSLYTCWZ4X,57,26,Monday,0,3,0,1
E:KE4E4TS5P9-00001,E:VIN7JLLFSH_2,7,10,Friday,0,2,1,2
E:KE4E4TS5P9-00002,E:M9XV6OYZRA,13,10,Tuesday,7,9,6,8
E:KR13MKWM4S,E:REXFWK78ON-00017,13,14,Monday,4,7,4,5
E:MUE3ZY48UQ,E:MUE3ZY48UQ-00001,57,32,Monday,0,8,0,8
E:MUE3ZY48UQ,E:MUE3ZY48UQ-00002,57,32,Monday,0,8,0,8
E:MUE3ZY48UQ,E:MUE3ZY48UQ-00003,57,32,Monday,0,8,0,8
E:MUE3ZY48UQ,E:MUE3ZY48UQ-00004,57,32,Monday,0,8,0,8
E:MUE3ZY48UQ-00001,E:MUE3ZY48UQ-00002,57,32,Monday,0,8,0,8
E:MUE3ZY48UQ-00001,E:MUE3ZY48UQ-00003,57,32,Monday,0,8,0,8
E:MUE3ZY48UQ-00001,E:MUE3ZY48UQ-00004,57,32,Monday,0,8,0,8
E:MUE3ZY48UQ-00002,E:MUE3ZY48UQ-00003,57,32,Monday,0,8,0,8
E:MUE3ZY48UQ-00002,E:MUE3ZY48UQ-00004,57,32,Monday,0,8,0,8
E:MUE3ZY48UQ-00003,E:MUE3ZY48UQ-00004,57,32,Monday,0,8,0,8
E:N2B1W9AHAM-00002-00011,E:N2B1W9AHAM-00002-00021,57,13,Tuesday,4,5,4,5
E:N2B1W9AHAM-00002-00014,E:NZ3KUIBV2A-00007,57,37,Thursday,6,9,7,8
E:N2B1W9AHAM-00002-00014,E:OYCYO3CAYR-00011,57,37,Thursday,6,9,7,8
E:N2B1W9AHAM-00002-00029,E:OGMTQZFYRI-00007,13,26,Wednesday,0,1,0,3
E:NZ3KUIBV2A-00005,E:OGMTQZFYRI,13,35,Monday,2,4,2,4
E:NZ3KUIBV2A-00007,E:OYCYO3CAYR-00011,57,37,Thursday,7,8,7,8
E:OGMTQZFYRI,E:OGMTQZFYRI-00004,13,25,Monday,2,4,0,3
E:OGMTQZFYRI,E:OGMTQZFYRI-00004-00001,13,26,Monday,2,4,0,3
E:OGMTQZFYRI-00002-00001,E:OGMTQZFYRI-00007-00002,13,35,Monday,5,7,6,9
E:OGMTQZFYRI-00004-00001,E:PSLYTCWZ4X,13,26,Monday,0,3,0,1
E:OGMTQZFYRI-00007-00003,E:PUBBVVEMNS,13,36,Friday,0,2,0,2
E:OGMTQZFYRI-00007-00003,E:X9V8BI18U3,13,36,Friday,0,2,0,2
E:OYCYO3CAYR-00009,E:V1FN9AH9W6-00001-00001,13,36,Tuesday,2,3,0,3
E:PUBBVVEMNS,E:X9V8BI18U3,13,36,Friday,0,2,0,2
E:REXFWK78ON-00009,E:Z29NA5X9DV,13,9,Wednesday,4,5,2,5
E:RZA3OV43KM-00002,E:ZBNWARLP8W,57,12,Monday,0,1,0,1
E:UJ3Z3HTHP9,E:UJ3Z3HTHP9-00001,57,15,Monday,0,8,0,8
E:UJ3Z3HTHP9,E:UJ3Z3HTHP9-00002,57,15,Monday,0,8,0,8
E:UJ3Z3HTHP9,E:UJ3Z3HTHP9-00003,57,15,Monday,0,8,0,8
E:UJ3Z3HTHP9,E:UJ3Z3HTHP9-00004,57,15,Monday,0,8,0,8
E:UJ3Z3HTHP9-00001,E:UJ3Z3HTHP9-00002,57,15,Monday,0,8,0,8
E:UJ3Z3HTHP9-00001,E:UJ3Z3HTHP9-00003,57,15,Monday,0,8,0,8
E:UJ3Z3HTHP9-00001,E:UJ3Z3HTHP9-00004,57,15,Monday,0,8,0,8
E:UJ3Z3HTHP9-00002,E:UJ3Z3HTHP9-00003,57,15,Monday,0,8,0,8
E:UJ3Z3HTHP9-00002,E:UJ3Z3HTHP9-00004,57,15,Monday,0,8,0,8
E:UJ3Z3HTHP9-00003,E:UJ3Z3HTHP9-00004,57,15,Monday,0,8,0,8
E:3IB37U84O8,E:CSQAQX3SVO,2,11,Monday,2,6,0,4
E:C6EFCNAHIO,E:PIPNSO5LSI,1,32,Monday,0,4,1,5
E:C6EFCNAHIO,E:QRG3JC4CML,4,32,Monday,0,4,0,4
E:PIPNSO5LSI,E:QRG3JC4CML,1,32,Monday,1,5,0,4
E:CKZS2WWB42,E:CKZS2WWB42-00002,6,34,Tuesday,0,9,0,9
E:HMUW7Z2FVL,E:HMUW7Z2FVL-00001,6,16,Monday,0,8,0,8
E:HMUW7Z2FVL,E:XLYDMFRSUN,1,16,Monday,0,8,0,2
E:HMUW7Z2FVL-00001,E:XLYDMFRSUN,1,16,Monday,0,8,0,2
E:ISBDT56SI7,E:XLYDMFRSUN,78,10,Monday,0,2,0,2
E:1NGKB9EZED,E:NEEUFMJVLA-00001,4,35,Monday,2,6,1,3
E:89KZDKRDHK,E:NAEJH3ZNIB,13,6,Thursday,5,8,5,7
E:89KZDKRDHK-00001,E:NAEJH3ZNIB-00001,13,35,Tuesday,0,3,0,2
E:NAEJH3ZNIB-00001,E:TLX1V5R13K,1,26,Tuesday,0,2,0,3
E:3835BSYNP4,E:3835BSYNP4-00001,22,32,Tuesday,4,5,4,5
E:A9YS5HGMKC,E:MP94MJJ7VH,1,9,Monday,0,1,0,1
E:A9YS5HGMKC,E:N165ZY8JU7,1,12,Monday,0,1,0,1
E:8V6CNV37DZ,E:FY2I3UTNYO,4,11,Monday,6,9,8,9
E:A18OB91KU2,E:CDTJFPY4NH,18,14,Monday,0,1,0,1
E:A8P37H3DNG,E:CDTJFPY4NH,8,10,Monday,0,1,0,1
E:A8P37H3DNG,E:Z8ODQNXVIP,4,9,Monday,0,1,0,2
E:CDTJFPY4NH,E:Z8ODQNXVIP,4,10,Monday,0,1,0,2
E:DE4V4MRFAR,E:IWBR73EC49,38,10,Thursday,2,5,3,5
E:IWBR73EC49,E:IWBR73EC49-00002,38,9,Thursday,3,5,2,5
E:5MGR2R128Q,E:K6UGHXDJIN,11,18,Monday,4,5,3,5
E:74AIE6RG62,E:K6UGHXDJIN,1,10,Monday,3,4,3,5
E:K6UGHXDJIN,E:N9Z2YHAIQU,7,16,Monday,3,5,3,5
E:1GMM9CLJSI-00001_2,E:8JU54IPO78-00002,6,36,Tuesday,3,6,0,4
E:1GMM9CLJSI-00002_2,E:82GTIU2KLH-00002,5,5,Monday,3,7,4,8
E:1GMM9CLJSI-00002_2,E:8JU54IPO78,5,5,Monday,3,7,1,5
E:1GMM9CLJSI-00002_2,E:I7E65UWTFQ,7,14,Monday,3,7,4,7
E:1GMM9CLJSI_1,E:NZ4QN6NPBY-00001,2,11,Wednesday,4,7,3,5
E:82GTIU2KLH,E:8JU54IPO78-00003,7,5,Tuesday,2,6,0,4
E:82GTIU2KLH,E:NZ4QN6NPBY,1,9,Tuesday,2,6,4,7
E:82GTIU2KLH,E:W55512AF35,1,10,Tuesday,2,6,5,7
E:82GTIU2KLH-00001,E:8JU54IPO78-00001,7,35,Thursday,1,5,4,8
E:82GTIU2KLH-00001,E:EHRWLMN7SC,7,37,Thursday,1,5,4,7
E:82GTIU2KLH-00002,E:8JU54IPO78,7,5,Monday,4,8,1,5
E:82GTIU2KLH-00002,E:I7E65UWTFQ,7,14,Monday,4,8,4,7
E:89KZDKRDHK-00001,E:8JU54IPO78-00002,7,36,Tuesday,0,3,0,4
E:8JU54IPO78,E:I7E65UWTFQ,7,14,Monday,1,5,4,7
E:8JU54IPO78-00001,E:EHRWLMN7SC,7,37,Thursday,4,8,4,7
E:8JU54IPO78-00003,E:LDWIFCTWDB,1,5,Tuesday,0,4,0,2
E:5KZVHC416O,E:5KZVHC416O-00001,21,10,Thursday,5,7,5,7
E:5KZVHC416O,E:5KZVHC416O-00007,21,10,Thursday,5,7,5,7
E:5KZVHC416O,E:5KZVHC416O-00008,21,10,Thursday,5,7,5,7
E:5KZVHC416O-00001,E:5KZVHC416O-00007,21,10,Thursday,5,7,5,7
E:5KZVHC416O-00001,E:5KZVHC416O-00008,21,10,Thursday,5,7,5,7
E:5KZVHC416O-00002,E:5KZVHC416O-00003,21,10,Wednesday,3,5,4,6
E:5KZVHC416O-00002,E:5KZVHC416O-00005,21,10,Wednesday,3,5,3,5
