event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus,week
E:KWZSQI1QFR,"27, 28",General Teaching,12,2,Monday,16,0450_03_3.43,Central,27
E:KWZSQI1QFR,"27, 28",General Teaching,12,2,Monday,16,0450_01_1.62,Central,28
E:2R9N1B6AZQ,"32, 33",General Teaching,45,3,Tuesday,14,0283_01_1.20,Central,32
E:2R9N1B6AZQ,"32, 33",General Teaching,45,3,Tuesday,14,0008_02_2.403,Central,33
E:3Z5U4ZLBIM,"28, 29",Computer Laboratory,44,1,Wednesday,10,0226_01_1.12,Central,28
E:3Z5U4ZLBIM,"28, 29",Computer Laboratory,44,1,Wednesday,10,0226_01_1.12,Central,29
E:8HLZEZ5B49,"10, 11",General Teaching,13,1,Thursday,13,0228_06_6.10,Central,10
E:8HLZEZ5B49,"10, 11",General Teaching,13,1,Thursday,13,0228_12_12.18,Central,11
E:6B12X6EAZE,"10, 11",General Teaching,17,1,Friday,14,0335_00_G.12,Central,10
E:6B12X6EAZE,"10, 11",General Teaching,17,1,Friday,14,0335_00_G.12,Central,11
E:G18PKMB4H3,"11, 12",General Teaching,18,1,Monday,14,0003_00_G.03,Central,11
E:G18PKMB4H3,"11, 12",General Teaching,18,1,Monday,14,0227_02_2.39,Central,12
E:AARCNYGD1Y,"9, 10",General Teaching,65,1,Thursday,13,0226_-1_LG.11,Central,9
E:AARCNYGD1Y,"9, 10",General Teaching,65,1,Thursday,13,0226_-1_LG.18,Central,10
E:OIW7OWY9XW,"10, 11",No room required,9,7,Monday,9,,,10
E:OIW7OWY9XW,"10, 11",No room required,9,7,Monday,9,,,11
E:HM8FLCOMT6,"11, 12",General Teaching,16,1,Thursday,16,0219_00_G.01,Central,11
E:HM8FLCOMT6,"11, 12",General Teaching,16,1,Thursday,16,0300_00_NG.04,Central,12
E:D5IOE3EVAV,"9, 10",General Teaching,125,2,Monday,12,0450_02_2.35,Central,9
E:D5IOE3EVAV,"9, 10",General Teaching,125,2,Monday,12,0450_02_2.35,Central,10
E:JELOTYI94V,"11, 12",General Teaching,24,2,Thursday,14,0228_07_7.18,Central,11
E:JELOTYI94V,"11, 12",General Teaching,24,2,Thursday,14,0219_00_G.02,Central,12
E:UZTHROVNNC,"27, 28",General Teaching,20,2,Friday,14,0564_03_3.25,Holyrood,27
E:UZTHROVNNC,"27, 28",General Teaching,20,2,Friday,14,0214_01_1.01,Central,28
E:JPN41G47R9,"27, 28",Computer Laboratory,25,1,Wednesday,13,0646_01_1.3A(U),Kings Buildings,27
E:JPN41G47R9,"27, 28",Computer Laboratory,25,1,Wednesday,13,0555_00_G.06,Holyrood,28
E:9GD1D6X6AO-00001,"10, 11",General Teaching,80,2,Friday,11,0311_02_2.13,Central,10
E:9GD1D6X6AO-00001,"10, 11",General Teaching,80,2,Friday,11,0311_02_2.13,Central,11
E:ERK93X2KC9,"28, 30",General Teaching,20,2,Friday,14,0003_00_G.01,Central,28
E:ERK93X2KC9,"28, 30",General Teaching,20,2,Friday,14,0103_01_1.B04,Central,30
E:L1239ANG5V,"10, 14",No room required,24,2,Monday,9,,,10
E:L1239ANG5V,"10, 14",No room required,24,2,Monday,9,,,14
E:4BSAVP83Q8,"11, 12",General Teaching,33,1,Monday,15,0558_03_3.4,Holyrood,11
E:4BSAVP83Q8,"11, 12",General Teaching,33,1,Monday,15,0558_03_3.4,Holyrood,12
E:KGQ1OUGIVC,"26, 27",No room required,26,2,Monday,9,,,26
E:KGQ1OUGIVC,"26, 27",No room required,26,2,Monday,9,,,27
E:MXKHS3XJDQ,"32, 33",General Teaching,60,2,Monday,10,0551_00_G21,Holyrood,32
E:MXKHS3XJDQ,"32, 33",General Teaching,60,2,Monday,10,0551_00_G21,Holyrood,33
E:S7RL29I5UD,"27, 28",General Teaching,14,1,Tuesday,11,0254_01_1.10,Central,27
E:S7RL29I5UD,"27, 28",General Teaching,14,1,Tuesday,11,0254_01_1.10,Central,28
E:VMVOTLEOD7,"10, 11",General Teaching,13,1,Wednesday,12,0008_-1_B.152,Central,10
E:VMVOTLEOD7,"10, 11",General Teaching,13,1,Wednesday,12,0228_12_12.18,Central,11
E:2UGT1BG3HK,"10, 11",General Teaching,50,1,Wednesday,13,0226_01_1.02,Central,10
E:2UGT1BG3HK,"10, 11",General Teaching,50,1,Wednesday,13,0113_00_G.03,Central,11
E:NVBM4J7H96,"28, 29",General Teaching,12,1,Monday,12,0551_00_G44,Holyrood,28
E:NVBM4J7H96,"28, 29",General Teaching,12,1,Monday,12,0450_03_3.32,Central,29
E:1TJIRZBZWJ,"11, 12",General Teaching,18,1,Monday,17,0551_-1_LG49,Holyrood,11
E:1TJIRZBZWJ,"11, 12",General Teaching,18,1,Monday,17,0227_02_2.54,Central,12
E:M9RBKCGYGR,"30, 32",General Teaching,6,2,Thursday,12,0551_-1M_M18,Holyrood,32
E:M9RBKCGYGR,"30, 32",General Teaching,6,2,Thursday,12,0450_02_2.32,Central,30
E:6E5SSQRMOQ,"11, 12",General Teaching,16,1,Wednesday,12,0300_00_NG.04,Central,11
E:6E5SSQRMOQ,"11, 12",General Teaching,16,1,Wednesday,12,0335_01_1.4,Central,12
E:X7PGPCL4RX,"35, 36",General Teaching,8,2,Monday,9,0254_01_1.5A,Central,35
E:X7PGPCL4RX,"35, 36",General Teaching,8,2,Monday,9,0254_01_1.09,Central,36
E:DFMFFHBMLI,"28, 29",General Teaching,18,1,Thursday,16,0401_02_2.17,New College,28
E:DFMFFHBMLI,"28, 29",General Teaching,18,1,Thursday,16,0227_03_3.39,Central,29
E:FXLEOE44SU,"35, 36",General Teaching,8,2,Monday,9,0450_01_1.63,Central,35
E:FXLEOE44SU,"35, 36",General Teaching,8,2,Monday,9,0254_01_1.01,Central,36
E:2UYQNP5EXH,"10, 12",Computer Laboratory,25,1,Monday,14,0646_01_1.3A(U),Kings Buildings,10
E:2UYQNP5EXH,"10, 12",Computer Laboratory,25,1,Monday,14,0555_00_G.06,Holyrood,12
E:7QSKBQMW1L,"11, 12",General Teaching,25,2,Friday,16,0112_-1_B.06,Central,11
E:7QSKBQMW1L,"11, 12",General Teaching,25,2,Friday,16,0228_04_4.18,Central,12
E:WKEE42R592,"28, 34",Computer Laboratory,40,1,Tuesday,15,0227_01_1.02,Central,34
E:WKEE42R592,"28, 34",Computer Laboratory,40,1,Tuesday,15,0227_01_1.02,Central,28
E:W831HKZUOC,"11, 12",General Teaching,16,1,Monday,13,0001_02_2.343,Central,11
E:W831HKZUOC,"11, 12",General Teaching,16,1,Monday,13,0254_01_1.04,Central,12
E:B65XY9STIU,"26, 27",General Teaching,120,2,Tuesday,9,0335_00_G.01,Central,26
E:B65XY9STIU,"26, 27",General Teaching,120,2,Tuesday,9,0335_00_G.01,Central,27
E:6SWGFLGAKD,"10, 14",No room required,24,2,Monday,9,,,10
