event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:RW9FK9NM69,"27, 29",Computer Laboratory,40,2,Tuesday,16,,
E:YIQETXFD2B,"11, 12",General Teaching,16,1,Wednesday,12,,
E:8YISOV8J4S,"26, 27",General Teaching,40,2,Tuesday,9,,
E:NF3THLJ7CJ,"11, 12",General Teaching,16,1,Friday,16,,
E:5FW46YW7RZ,"28, 29",General Teaching,15,1,Tuesday,10,,
E:53YYSVXW4L,"11, 12",General Teaching,19,1,Friday,16,,
E:GTCQMQGTH5,"10, 11",General Teaching,17,1,Wednesday,13,,
E:HFU2J1ESZS,"26, 27",General Teaching,60,2,Friday,15,,
E:91FBLBRAGL,"11, 12",General Teaching,19,2,Tuesday,16,,
E:WPYZNQKRPC,"9, 10",General Teaching,200,1,Thursday,15,,
E:SLDCDFKNTJ,"9, 10",General Teaching,85,2,Monday,12,,
E:DSHL3TL21P,"33, 34",General Teaching,45,1,Friday,12,,
E:O4QT7MY64X,"11, 12",General Teaching,16,1,Monday,13,,
E:U4Y9566NDY,"26, 28",General Teaching,35,2,Tuesday,10,,
E:Z1I1TUXCTM,"27, 28",General Teaching,12,2,Friday,14,,
E:29GWRMRRBS,"27, 30",General Teaching,85,1,Tuesday,10,,
E:XATEK15QWG,"11, 12",Teaching Studio,24,2,Monday,11,,
E:2U4QH1DSVV,"32, 33",General Teaching,55,2,Monday,10,,
E:ZUWQD2N38K,"27, 30",General Teaching,20,2,Tuesday,12,,
E:8T4K5KJT5T,"9, 10",General Teaching,55,2,Monday,12,,
E:WT6NF3M9GX,"9, 11",General Teaching,60,2,Tuesday,9,,
E:HT64J6HLC8,"11, 12",General Teaching,16,1,Wednesday,12,,
E:JU9VH8SJJJ,"29, 30",General Teaching,20,1,Wednesday,16,,
E:474O28L86V,"32, 33",General Teaching,25,2,Tuesday,14,,
E:6KKE3OE22X,"11, 12",General Teaching,18,1,Wednesday,12,,
E:YTE2AF1QCB,"11, 12",General Teaching,16,1,Thursday,16,,
E:JHPN63SS6Q,"26, 27",General Teaching,80,2,Wednesday,15,,
E:OM5QMLCP5L,"9, 10",General Teaching,57,2,Monday,12,,
E:2R9X93RYPV,"10, 11",General Teaching,20,1,Tuesday,15,,
E:4NL42319AD,"9, 11",General Teaching,60,1,Wednesday,11,,
E:84W5WEXEOK,"35, 36",General Teaching,8,2,Monday,9,,
E:8IT7PWRH6H,"11, 12",General Teaching,18,1,Wednesday,12,,
E:BK4DXZOOAD,"26, 27",General Teaching,85,2,Monday,13,,
E:XBWFWMA1FM,"11, 12",General Teaching,15,1,Thursday,16,,
E:M2M3KKQAUO,"28, 29",General Teaching,18,1,Monday,16,,
E:O6GFPLM8UL,"11, 12",General Teaching,14,1,Friday,16,,
E:6U3QPH7LH8,"11, 12",General Teaching,15,1,Wednesday,9,,
E:DBMOJGZSUZ,"9, 10",General Teaching,234,1,Tuesday,17,,
E:3W56CEFLRU,"11, 12",General Teaching,34,1,Thursday,14,,
